funded_amnt,TermInMonths,int_rate,installment,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,open_acc,total_acc
-1.058928947,36,-0.87485034,-1.066231587,1,0,-0.579481303,2,1,-0.614699303,2.430899798,0.908395339
-0.51558694,36,0.107322771,-0.418486582,1,0,-1.209271504,2,2,-0.973340016,0.385044813,-0.357055311
-0.898926393,36,-0.644027882,-0.886022207,6,0,-0.798538765,2,2,0.456117628,0.385044813,0.908395339
2.301124687,60,1.445150893,1.729108262,10,0,0.221776125,2,2,0.374434334,1.294313695,0.713710624
-1.522269676,36,-0.123499686,-1.544837949,3,0,-0.716392217,2,0,-1.564267595,-0.978858509,-1.427821246
2.301124687,60,1.675973351,1.800149057,9,0,2.131354779,4,8,-1.053747008,0.157727593,1.687134201
0.167757301,36,-0.410850093,0.280166718,2,0,0.806604782,3,2,-1.197969074,-0.296906848,0.226998835
2.301124687,60,1.675973351,1.800149057,1,0,0.043463352,2,2,0.311895562,-1.43349295,0.226998835
-0.952260577,36,-1.199886045,-0.969629784,3,0,-1.099742774,2,1,-0.437293399,-1.20617573,-1.622505961
-0.632255469,36,-2.078424583,-0.69854632,1,0,-0.374114933,2,5,0.793061216,0.612362034,0.03231412
0.167757301,36,-2.078424583,0.082004791,10,0,0.762245646,2,2,-0.326255171,0.385044813,0.03231412
-0.112247169,36,-1.703926922,-0.154242183,1,0,-1.017596226,2,0,-1.445571559,-0.296906848,-0.649082384
0.967770071,60,0.225089331,0.330989524,7,0,-0.497334755,2,2,-0.082481591,-0.978858509,-0.454397669
0.301092762,36,0.225089331,0.508805231,6,0,-0.552099121,2,1,0.193199526,-0.524224068,-1.135794173
-1.138930224,36,-1.939460042,-1.188095187,2,0,0.625334733,0,8,-0.741053148,0.157727593,1.492449486
-0.498920008,36,-1.939460042,-0.558131753,6,0,-0.606863486,2,8,-0.138638856,-0.069589628,0.713710624
0.967770071,36,1.560562122,1.502564213,2,0,0.597952551,2,2,-0.023771724,3.79480312,2.368530705
1.834450571,60,0.799790144,1.15248954,3,0,-0.250895112,3,2,-1.730186786,-1.660810171,-1.427821246
0.487762409,36,0.225089331,0.718636314,4,0,0.351512907,2,2,-0.156507076,-0.069589628,-0.8437671
2.301124687,36,1.329739665,3.059007321,7,0,1.583711126,2,1,-0.405385862,-0.296906848,-0.649082384
-1.032261854,36,-0.644027882,-1.028232028,2,0,-0.921758586,2,2,0.203409938,0.612362034,-0.259712953
2.614463022,36,-0.644027882,2.861401068,10,0,0.07769108,2,2,1.403133317,0.612362034,1.005737697
-0.765590931,36,-0.278951546,-0.72145719,4,0,1.41941803,3,12,-1.554057183,0.385044813,-0.454397669
-0.365584546,36,-1.939460042,-0.426907181,2,0,-0.552099121,3,2,0.310619261,0.839679254,0.03231412
-0.125580715,36,-0.644027882,-0.061145402,10,0,-0.250895112,2,8,-0.632567524,0.157727593,0.226998835
-1.432268239,36,0.225089331,-1.439559082,1,0,-0.990214043,3,12,-1.903763785,-1.660810171,-1.817190677
